_num_key,org,#,ID_combined,Giocatore_combined,Ruolo_combined,Ruolo2_combined,Squadra_combined,Min.Gioc._combined,G_combined,GF_combined,GS_combined,Aut_combined,Ass_combined,CS_combined,GF.1_combined,GS.1_combined,Aut.1_combined,Ass.1_combined,TS_combined,GF.2_combined,GS.2_combined,Aut.2_combined,Ass.2_combined,M2_combined,M3_combined,Amm_combined,Esp_combined,Gdv_combined,Gdp_combined,RigS_combined,RigP_combined,Rt_combined,Rs_combined,T_combined,VG_combined,VC_combined,VTS_combined,_name_norm_combined,ID_new,Giocatore_new,Ruolo_new,Ruolo2_new,Squadra_new,Min.Gioc._new,G_new,GF_new,GS_new,Aut_new,Ass_new,CS_new,GF.1_new,GS.1_new,Aut.1_new,Ass.1_new,TS_new,GF.2_new,GS.2_new,Aut.2_new,Ass.2_new,M2_new,M3_new,Amm_new,Esp_new,Gdv_new,Gdp_new,RigS_new,RigP_new,Rt_new,Rs_new,T_new,VG_new,VC_new,VTS_new,_name_norm_new,matched_norm,match_score
615.0,TE,615.0,615,LOFTUS-CHEEK R.,C,C,MILAN,,5.04,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,4.75,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.5,5.5,loftus-cheek r.,615,LOFTUS-CHEEK R.,C,C,MILAN,,5.04,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,4.75,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.5,5.5,loftus-cheek r.,loftus-cheek r.,100.0
307.0,,,307,LOVIK M.,D,D,PARMA,,5.53,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,5.25,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.5,5.0,6.0,lovik m.,307,LOVIK M.,D,D,PARMA,,5.53,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,5.25,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.5,5.0,6.0,lovik m.,lovik m.,100.0
890.0,JK,890.0,890,LUCCA L.,A,A,NAPOLI,,5.04,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,5.5,5.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.5,5.5,5.0,lucca l.,890,LUCCA L.,A,A,NAPOLI,,5.04,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,5.5,5.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.5,5.5,5.0,lucca l.,lucca l.,100.0
309.0,,,309,LUCUMI J.,D,D,BOLOGNA,,4.04,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,4.5,4.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,4.0,lucumi j.,309,LUCUMI J.,D,D,BOLOGNA,,4.04,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,4.5,4.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,4.0,lucumi j.,lucumi j.,100.0
311.0,JH,311.0,311,LUPERTO S.,D,D,CAGLIARI,,7.04,1.0,0.0,0.0,0.0,7.5,1.0,0.0,0.0,0.0,7,1.0,0.0,0.0,0.0,7.25,7.17,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10.0,10.5,10.0,luperto s.,311,LUPERTO S.,D,D,CAGLIARI,,7.04,1.0,0.0,0.0,0.0,7.5,1.0,0.0,0.0,0.0,7,1.0,0.0,0.0,0.0,7.25,7.17,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10.0,10.5,10.0,luperto s.,luperto s.,100.0
893.0,,,893,LUVUMBO S.,A,A,CAGLIARI,15.0,6.04,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,6.25,6.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.5,6.5,luvumbo s.,893,LUVUMBO S.,A,A,CAGLIARI,15.0,6.04,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,6.25,6.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.5,6.5,luvumbo s.,luvumbo s.,100.0
313.0,,,313,LYKOGIANNIS C.,D,D,BOLOGNA,,5.04,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,5.0,5.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,6.0,lykogiannis c.,313,LYKOGIANNIS C.,D,D,BOLOGNA,,5.04,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,5.0,5.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,6.0,lykogiannis c.,lykogiannis c.,100.0
123.0,,,123,MAIGNAN M.,P,P,MILAN,,6.04,0.0,2.0,0.0,0.0,6,0.0,2.0,0.0,0.0,6,0.0,2.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,4.0,maignan m.,123,MAIGNAN M.,P,P,MILAN,,6.04,0.0,2.0,0.0,0.0,6,0.0,2.0,0.0,0.0,6,0.0,2.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,4.0,maignan m.,maignan m.,100.0
618.0,JK,618.0,618,MALDINI D.,C,C,ATALANTA,,5.53,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,5.5,5.67,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,5.5,maldini d.,618,MALDINI D.,C,C,ATALANTA,,5.53,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,5.5,5.67,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,5.5,maldini d.,maldini d.,100.0
314.0,,,314,MANCINI G.,D,D,ROMA,,6.04,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,6.5,6.33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.5,6.5,5.5,mancini g.,314,MANCINI G.,D,D,ROMA,,6.04,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,6.5,6.33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.5,6.5,5.5,mancini g.,mancini g.,100.0
