_num_key,org,#,ID,Giocatore,Ruolo,Ruolo2,Squadra,Min.Gioc.,G,GF,GS,Aut,Ass,CS,GF.1,GS.1,Aut.1,Ass.1,TS,GF.2,GS.2,Aut.2,Ass.2,M2,M3,Amm,Esp,Gdv,Gdp,RigS,RigP,Rt,Rs,T,VG,VC,VTS,_name_norm_old,cod.__Fantacalcio,ruolo__Fantacalcio,nome,voto__Fantacalcio,gf__Fantacalcio,gs__Fantacalcio,rp__Fantacalcio,rs__Fantacalcio,rf__Fantacalcio,au__Fantacalcio,amm__Fantacalcio,esp__Fantacalcio,ass__Fantacalcio,cod.__Statistico,ruolo__Statistico,voto__Statistico,gf__Statistico,gs__Statistico,rp__Statistico,rs__Statistico,rf__Statistico,au__Statistico,amm__Statistico,esp__Statistico,ass__Statistico,cod.__Italia,ruolo__Italia,voto__Italia,gf__Italia,gs__Italia,rp__Italia,rs__Italia,rf__Italia,au__Italia,amm__Italia,esp__Italia,ass__Italia,matched_norm,match_score
147.0,IÄ,147.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151.0,MT,151.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152.0,MT,152.0,152,SEMPER A.,P,P,PISA,,6.53,0.0,1.0,0.0,0.0,6.5,0.0,1.0,0.0,0.0,6,0.0,1.0,0.0,0.0,6.5,6.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.5,5.5,5.0,semper a,2861.0,P,Semper,6.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2861.0,P,7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2861.0,P,6.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,semper a,85.0
155.0,,,155,SKORUPSKI L.,P,P,BOLOGNA,,6.53,0.0,1.0,0.0,0.0,6,0.0,1.0,0.0,0.0,6.5,0.0,1.0,0.0,0.0,6.25,6.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.5,5.0,5.5,skorupski l,133.0,P,Skorupski,6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,P,6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,P,6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,skorupski l,90.0
157.0,PP,157.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158.0,TE,158.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159.0,JH,159.0,159,SUZUKI Z.,P,P,PARMA,,6.53,0.0,2.0,0.0,0.0,6,0.0,2.0,0.0,0.0,6,0.0,2.0,0.0,0.0,6.25,6.17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.5,3.5,suzuki z,6641.0,P,Suzuki,6.5,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6641.0,P,6.5,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6641.0,P,6.5,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,suzuki z,85.0
160.0,,,160,SVILAR M.,P,P,ROMA,,6.04,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,6.0,svilar m,5841.0,P,Svilar,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5841.0,P,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5841.0,P,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,svilar m,85.0
163.0,,,163,TURATI S.,P,P,SASSUOLO,,5.04,0.0,2.0,0.0,0.0,5.5,0.0,2.0,0.0,0.0,5.5,0.0,2.0,0.0,0.0,5.25,5.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.5,3.5,turati s,4867.0,P,Turati,5.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4867.0,P,5.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4867.0,P,5.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,turati s,85.0
165.0,MT,165.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166.0,MT,166.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169.0,VK,169.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170.0,JH,170.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202.0,TE,202.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205.0,JP,205.0,205,ANGELINO J.,D,D,ROMA,,6.04,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,6.25,6.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.5,6.0,angelino j,4772.0,D,Angelino,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4772.0,D,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4772.0,D,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,angelino j,88.0
