_num_key,org,#,ID,Giocatore,Ruolo,Ruolo2,Squadra,Min.Gioc.,G,GF,GS,Aut,Ass,CS,GF.1,GS.1,Aut.1,Ass.1,TS,GF.2,GS.2,Aut.2,Ass.2,M2,M3,Amm,Esp,Gdv,Gdp,RigS,RigP,Rt,Rs,T,VG,VC,VTS
349,,,349,PELLEGRINI Lu.,D,D,LAZIO,15.0,5.04,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,"s,v,",0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0
352,,,352,PONGRACIC M.,D,D,FIORENTINA,,6.04,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,5.75,5.67,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.5,5.0,5.0
354,,,354,PROVSTGAARD O.,D,D,LAZIO,,5.53,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.5,5.5,5.5
360,,,360,ROBERTO S.,D,D,COMO,,6.53,0.0,0.0,0.0,0.0,"s,v,",0.0,0.0,0.0,0.0,"s,v,",0.0,0.0,0.0,0.0,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0.0,0.0
362,,,362,ROMAGNA F.,D,D,SASSUOLO,,6.04,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,5.75,5.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,5.5,6.0
379,,,379,SMOLCIC I.,D,D,COMO,15.0,6.04,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,"s,v,",0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0
393,,,393,VALERI E.,D,D,PARMA,,5.04,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,6.0,5.5
397,,,397,VEIGA D.,D,D,LECCE,,6.04,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,6.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.5,5.5,5.5
403,,,403,WALUKIEWICZ S.,D,D,SASSUOLO,,5.53,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,5.25,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.5,5.0,6.0
413,,,413,DENOON D.,D,D,PISA,,5.04,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,5.5,5.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,6.0,6.0
418,,,418,MARIO J.,D,D,JUVENTUS,15.0,6.53,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,6.5,6.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,6.5,6.0
432,,,432,CANDE F.,D,D,SASSUOLO,,"s,v,",0.0,0.0,0.0,0.0,"s,v,",0.0,0.0,0.0,0.0,"s,v,",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
502,,,502,ADOPO M.,C,C,CAGLIARI,,6.04,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,6.25,6.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.5,6.5
504,,,504,AEBISCHER M.,C,C,PISA,,5.53,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,6.0,6.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.5,6.5,6.5
522,,,522,BERISHA M.,C,C,LECCE,,5.53,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,5.5,5.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.5,5.5,6.0
527,,,527,BOLOCA D.,C,C,SASSUOLO,,5.53,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,5.25,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.5,5.0,6.0
542,,,542,CATALDI D.,C,C,LAZIO,,4.53,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,4.5,4.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.5,4.5,5.0
548,,,548,COULIBALY L.,C,C,LECCE,,6.04,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,6.0
554,,,554,DE ROON M.,C,C,ATALANTA,,6.02,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,6.25,6.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.5,6.0
555,,,555,DEIOLA A.,C,C,CAGLIARI,,6.04,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,6.0
556,,,556,DELE-BASHIRU F.,C,C,LAZIO,,4.53,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,4.25,4.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.5,4.0,4.5
562,,,562,EL SHAARAWY S.,C,C,ROMA,,6.04,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,6.0
563,,,563,ELLERTSSON M.,C,C,GENOA,15.0,6.04,0.0,0.0,0.0,0.0,"s,v,",0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0
