ID;Giocatore;Ruolo;Ruolo2;Squadra;Min.Gioc.;G;GF;GS;Aut;Ass;CS;GF;GS;Aut;Ass;TS;GF;GS;Aut;Ass;M2;M3;Amm;Esp;Gdv;Gdp;RigS;RigP;Rt;Rs;T;VG;VC;VTS
643;PASALIC M.;C;C;ATALANTA;;5,53;0;0;0;1;5,5;0;0;0;1;6,5;0;0;0;1;5,5;5,83;0;0;0;0;0;0;0;0;1;6,5;5,5;7,5
667;SAMARDZIC L.;C;C;ATALANTA;;s,v,;0;0;0;0;s,v,;0;0;0;0;s,v,;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
674;SULEMANA;C;C;ATALANTA;15;6,03;0;0;0;0;6;0;0;0;0;6;0;0;0;0;6;6;1;0;0;0;0;0;0;0;0;5,5;5,5;5,5
697;ZALEWSKI N.;C;C;ATALANTA;;6,04;0;0;0;0;6;0;0;0;0;6;0;0;0;0;6;6;0;0;0;0;0;0;0;0;1;6;6;6
847;DE KETELAERE C.;A;A;ATALANTA;;5,04;0;0;0;0;5,5;0;0;0;0;6,5;0;0;0;0;5,25;5,67;0;0;0;0;0;0;0;0;1;5;5,5;6,5
880;KRSTOVIC N.;A;A;ATALANTA;15;6,04;0;0;0;0;6;0;0;0;0;6;0;0;0;0;6;6;0;0;0;0;0;0;0;0;0;6;6;6
942;SCAMACCA G.;A;A;ATALANTA;;6,53;1;0;0;0;7;1;0;0;0;7;1;0;0;0;6,75;6,83;0;0;0;1;0;0;0;0;1;9,5;10;10
ALL.;ITALIANO V.;ALL;ALL;BOLOGNA;;5,5;;;;;5,5;;;;;5,5;;;;;;;0;0;;;;;;;;;;
155;SKORUPSKI L.;P;P;BOLOGNA;;6,53;0;1;0;0;6;0;1;0;0;6,5;0;1;0;0;6,25;6,33;0;0;0;0;0;0;0;0;1;5,5;5;5,5
232;CASALE N.;D;D;BOLOGNA;;5,04;0;0;0;0;5;0;0;0;0;4,5;0;0;0;0;5;4,83;0;0;0;0;0;0;0;0;1;5;5;4,5
245;DE SILVESTRI L.;D;D;BOLOGNA;;5,04;0;0;0;0;6;0;0;0;0;5,5;0;0;0;0;5,5;5,5;0;0;0;0;0;0;0;0;1;5;6;5,5
309;LUCUMI J.;D;D;BOLOGNA;;4,04;0;0;0;0;5;0;0;0;0;4;0;0;0;0;4,5;4,33;0;0;0;0;0;0;0;0;1;4;5;4
313;LYKOGIANNIS C.;D;D;BOLOGNA;;5,04;0;0;0;0;5;0;0;0;0;6;0;0;0;0;5;5,33;0;0;0;0;0;0;0;0;1;5;5;6
400;VITIK M.;D;D;BOLOGNA;15;5,53;0;0;0;0;5,5;0;0;0;0;6,5;0;0;0;0;5,5;5,83;0;0;0;0;0;0;0;0;0;5,5;5,5;6,5
410;ZORTEA N.;D;D;BOLOGNA;15;5,53;0;0;0;0;5,5;0;0;0;0;s,v,;0;0;0;0;5,5;5,5;0;0;0;0;0;0;0;0;0;5,5;5,5;0
566;FABBIAN G.;C;C;BOLOGNA;15;5,53;0;0;0;0;6;0;0;0;0;s,v,;0;0;0;0;5,75;5,75;0;0;0;0;0;0;0;0;0;5,5;6;0
577;FREULER R.;C;C;BOLOGNA;;6,04;0;0;0;0;5,5;0;0;0;0;5,5;0;0;0;0;5,75;5,67;1;0;0;0;0;0;0;0;1;5,5;5;5
654;POBEGA T.;C;C;BOLOGNA;;5,04;0;0;0;0;5;0;0;0;0;5;0;0;0;0;5;5;0;0;0;0;0;0;0;0;1;5;5;5
698;BERNARDESCHI F.;C;C;BOLOGNA;;6,04;0;0;0;0;s,v,;0;0;0;0;6,5;0;0;0;0;6;6,25;0;0;0;0;0;0;0;0;0;6;0;6,5
830;CAMBIAGHI N.;A;A;BOLOGNA;;5,53;0;0;0;0;5,5;0;0;0;0;6,5;0;0;0;0;5,5;5,83;0;0;0;0;0;0;0;0;1;5,5;5,5;6,5
834;CASTRO S.;A;A;BOLOGNA;15;6,53;0;0;0;0;6;0;0;0;0;6,5;0;0;0;0;6,25;6,33;0;0;0;0;0;0;0;0;0;6,5;6;6,5
870;IMMOBILE C.;A;A;BOLOGNA;;5,53;0;0;0;0;6;0;0;0;0;5;0;0;0;0;5,75;5,5;0;0;0;0;0;0;0;0;1;5,5;6;5
916;ODGAARD J.;A;A;BOLOGNA;;5,04;0;0;0;0;5;0;0;0;0;5;0;0;0;0;5;5;0;0;0;0;0;0;0;0;1;5;5;5
920;ORSOLINI R.;A;A;BOLOGNA;;6,04;0;0;0;0;6,5;0;0;0;0;5,5;0;0;0;0;6,25;6;0;0;0;0;0;0;0;0;1;6;6,5;5,5
